,Match_Winner,HT_buildUpPlaySpeed,HT_buildUpPlayDribbling,HT_buildUpPlayPassing,HT_chanceCreationPassing,HT_chanceCreationCrossing,HT_chanceCreationShooting,HT_defencePressure,HT_defenceAggression,HT_defenceTeamWidth,AT_buildUpPlaySpeed,AT_buildUpPlayDribbling,AT_buildUpPlayPassing,AT_chanceCreationPassing,AT_chanceCreationCrossing,AT_chanceCreationShooting,AT_defencePressure,AT_defenceAggression,AT_defenceTeamWidth
1169,0,55.0,48.0,49.0,46.0,54.0,53.0,39.0,46.0,42.0,57.0,42.0,50.0,48.0,53.0,46.0,51.0,56.0,55.0
1170,1,49.0,47.0,34.0,62.0,61.0,35.0,57.0,53.0,56.0,63.0,37.0,58.0,42.0,56.0,36.0,49.0,47.0,49.0
1171,0,64.0,62.0,41.0,49.0,52.0,64.0,46.0,44.0,51.0,61.0,61.0,52.0,56.0,51.0,49.0,44.0,55.0,48.0
1172,1,58.0,55.0,52.0,48.0,64.0,52.0,48.0,51.0,49.0,48.0,55.0,53.0,49.0,66.0,38.0,57.0,47.0,61.0
1173,1,49.0,56.0,53.0,52.0,34.0,36.0,36.0,45.0,49.0,45.0,36.0,43.0,68.0,52.0,64.0,59.0,42.0,48.0
1174,0,58.0,35.0,56.0,52.0,61.0,51.0,47.0,43.0,50.0,58.0,55.0,52.0,48.0,64.0,52.0,48.0,51.0,49.0
1175,1,63.0,37.0,58.0,42.0,56.0,36.0,49.0,47.0,49.0,49.0,56.0,53.0,52.0,34.0,36.0,36.0,45.0,49.0
1176,0,45.0,36.0,43.0,68.0,52.0,64.0,59.0,42.0,48.0,51.0,77.0,41.0,49.0,69.0,31.0,48.0,48.0,60.0
1177,0,54.0,43.0,65.0,48.0,49.0,45.0,53.0,56.0,48.0,49.0,47.0,34.0,62.0,61.0,35.0,57.0,53.0,56.0
1178,1,51.0,40.0,48.0,49.0,63.0,44.0,57.0,52.0,49.0,54.0,43.0,65.0,48.0,49.0,45.0,53.0,56.0,48.0
1179,1,64.0,44.0,50.0,49.0,53.0,46.0,46.0,44.0,49.0,63.0,70.0,56.0,52.0,55.0,46.0,39.0,41.0,52.0
1180,0,57.0,42.0,50.0,48.0,53.0,46.0,51.0,56.0,55.0,52.0,42.0,43.0,54.0,56.0,23.0,56.0,62.0,51.0
1181,1,51.0,77.0,41.0,49.0,69.0,31.0,48.0,48.0,60.0,61.0,61.0,52.0,56.0,51.0,49.0,44.0,55.0,48.0
1182,0,55.0,48.0,49.0,46.0,54.0,53.0,39.0,46.0,42.0,45.0,36.0,43.0,68.0,52.0,64.0,59.0,42.0,48.0
1183,1,49.0,47.0,34.0,62.0,61.0,35.0,57.0,53.0,56.0,48.0,37.0,49.0,48.0,52.0,58.0,33.0,44.0,50.0
1184,0,64.0,62.0,41.0,49.0,52.0,64.0,46.0,44.0,51.0,49.0,60.0,52.0,49.0,54.0,67.0,46.0,47.0,47.0
1185,1,58.0,55.0,52.0,48.0,64.0,52.0,48.0,51.0,49.0,63.0,37.0,58.0,42.0,56.0,36.0,49.0,47.0,49.0
1186,0,49.0,56.0,53.0,52.0,34.0,36.0,36.0,45.0,49.0,48.0,55.0,53.0,49.0,66.0,38.0,57.0,47.0,61.0
1187,0,62.0,50.0,45.0,48.0,54.0,53.0,43.0,42.0,51.0,64.0,62.0,41.0,49.0,52.0,64.0,46.0,44.0,51.0
1188,1,64.0,52.0,49.0,49.0,53.0,34.0,46.0,44.0,49.0,48.0,58.0,48.0,48.0,52.0,50.0,33.0,44.0,50.0
1189,1,60.0,56.0,42.0,48.0,53.0,64.0,43.0,47.0,48.0,63.0,58.0,48.0,53.0,49.0,48.0,43.0,47.0,49.0
1190,1,51.0,62.0,50.0,49.0,69.0,68.0,48.0,48.0,60.0,48.0,61.0,66.0,49.0,66.0,34.0,56.0,47.0,64.0
1191,1,55.0,42.0,49.0,49.0,54.0,53.0,46.0,54.0,50.0,49.0,60.0,52.0,49.0,54.0,67.0,46.0,47.0,47.0
1192,1,63.0,53.0,48.0,52.0,55.0,49.0,47.0,51.0,54.0,52.0,58.0,47.0,48.0,49.0,52.0,53.0,56.0,48.0
1193,1,49.0,56.0,53.0,52.0,34.0,57.0,36.0,52.0,49.0,61.0,51.0,44.0,52.0,61.0,48.0,47.0,56.0,50.0
1194,1,49.0,70.0,55.0,62.0,61.0,68.0,57.0,53.0,56.0,58.0,55.0,52.0,48.0,52.0,52.0,35.0,44.0,50.0
1195,0,61.0,51.0,44.0,52.0,61.0,48.0,47.0,56.0,50.0,51.0,62.0,50.0,49.0,69.0,68.0,48.0,48.0,60.0
1196,1,63.0,58.0,48.0,53.0,49.0,48.0,43.0,47.0,49.0,38.0,49.0,36.0,49.0,55.0,51.0,37.0,33.0,49.0
1197,1,45.0,65.0,42.0,68.0,52.0,49.0,59.0,42.0,48.0,63.0,53.0,48.0,52.0,55.0,49.0,47.0,51.0,54.0
1198,1,49.0,60.0,52.0,49.0,54.0,67.0,46.0,47.0,47.0,52.0,68.0,48.0,37.0,37.0,37.0,35.0,34.0,51.0
